Column1,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
348,Gorgeous,reputation,2017/11/10,8,1ZY1PqizIl78geGM4xWlEA,spotify:track:1ZY1PqizIl78geGM4xWlEA,0.0713,0.8,0.535,0.00000948,0.213,-6.684,0.135,92.027,0.451,76,209680
349,Getaway Car,reputation,2017/11/10,9,0VE4kBnHJUgtMf0dy6DRmW,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,0.00465,0.562,0.689,0.00000223,0.0888,-6.745,0.127,172.054,0.351,79,233626
350,King Of My Heart,reputation,2017/11/10,10,7HuBDWi18s4aJM8UFnNheH,spotify:track:7HuBDWi18s4aJM8UFnNheH,0.00882,0.675,0.703,0.00000221,0.0391,-7.902,0.0382,110.01,0.314,72,214320
351,Dancing With Our Hands Tied,reputation,2017/11/10,11,7I7JbDv63ZJJsSi24DyJrz,spotify:track:7I7JbDv63ZJJsSi24DyJrz,0.0604,0.624,0.691,0.000011,0.138,-6.686,0.196,160.024,0.284,72,211506
352,Dress,reputation,2017/11/10,12,6oVxXO5oQ4pTpO8RSnkzvv,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,0.0329,0.719,0.469,0,0.169,-8.792,0.0533,120.085,0.0851,75,230373
353,This Is Why We Can't Have Nice Things,reputation,2017/11/10,13,07NxDD1iKCHbAldceD7QLP,spotify:track:07NxDD1iKCHbAldceD7QLP,0.0156,0.567,0.789,0,0.382,-5.986,0.115,163.96,0.438,70,207133
354,Call It What You Want,reputation,2017/11/10,14,1GwMQaZz6Au3QLDbjbMdme,spotify:track:1GwMQaZz6Au3QLDbjbMdme,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,0.252,75,203506
355,New Year’s Day,reputation,2017/11/10,15,7F5oktn5YOsR9eR5YsFtqb,spotify:track:7F5oktn5YOsR9eR5YsFtqb,0.921,0.661,0.151,0,0.13,-12.864,0.0354,94.922,0.23,70,235466
421,Welcome To New York,1989,2014/1/1,1,10nqz67NQWWa7XPq7ycihi,spotify:track:10nqz67NQWWa7XPq7ycihi,0.038,0.793,0.634,0.00000176,0.304,-4.807,0.0324,117.023,0.615,59,212600
422,Blank Space,1989,2014/1/1,2,2ls70nUDfjzm1lSRDuKxmw,spotify:track:2ls70nUDfjzm1lSRDuKxmw,0.085,0.752,0.678,0.00000164,0.13,-5.421,0.0646,96.009,0.583,60,231826
423,Style,1989,2014/1/1,3,71PmZqBXH0RUETqxpwlV0w,spotify:track:71PmZqBXH0RUETqxpwlV0w,0.00256,0.598,0.786,0.00143,0.117,-5.572,0.0382,95.021,0.456,56,231000
424,Out Of The Woods,1989,2014/1/1,4,7EpVQjqtKygiwJIASxMWNg,spotify:track:7EpVQjqtKygiwJIASxMWNg,0.00103,0.552,0.841,0.0000123,0.337,-6.938,0.0372,91.993,0.342,46,235800
425,All You Had To Do Was Stay,1989,2014/1/1,5,4NNolUeL5m2ju7kf8pdg6H,spotify:track:4NNolUeL5m2ju7kf8pdg6H,0.00196,0.602,0.735,0.0000477,0.105,-5.778,0.0337,96.969,0.472,53,193293
426,Shake It Off,1989,2014/1/1,6,1kKlhuQE0HXp1IwBRpaH2P,spotify:track:1kKlhuQE0HXp1IwBRpaH2P,0.0561,0.648,0.785,0,0.148,-5.414,0.165,160.02,0.943,53,219200
427,I Wish You Would,1989,2014/1/1,7,5RVJ6VKfwtosA5Q1qeHdjF,spotify:track:5RVJ6VKfwtosA5Q1qeHdjF,0.016,0.649,0.898,0.000099,0.109,-5.963,0.0511,118.027,0.503,42,207440
428,Bad Blood,1989,2014/1/1,8,0TvQLMecTE8utzoNmvXRbK,spotify:track:0TvQLMecTE8utzoNmvXRbK,0.0871,0.652,0.802,0.00000645,0.148,-6.114,0.181,170.157,0.295,71,211933
429,Wildest Dreams,1989,2014/1/1,9,3fVnlF4pGqWI9flVENcT28,spotify:track:3fVnlF4pGqWI9flVENcT28,0.0709,0.553,0.664,0.0056,0.106,-7.417,0.0741,140.06,0.467,75,220440
430,How You Get The Girl,1989,2014/1/1,10,5Z9ocF6ng0m2haHnKtHwTp,spotify:track:5Z9ocF6ng0m2haHnKtHwTp,0.00463,0.764,0.659,0.00458,0.0915,-6.136,0.0492,119.982,0.525,43,247533
431,This Love,1989,2014/1/1,11,7lTxQZVXlvIX7Z3szSy8Sh,spotify:track:7lTxQZVXlvIX7Z3szSy8Sh,0.635,0.485,0.459,0,0.101,-8.768,0.0337,71.981,0.0858,42,250093
432,I Know Places,1989,2014/1/1,12,6Ck9WerfsyvC4v4AylUoDp,spotify:track:6Ck9WerfsyvC4v4AylUoDp,0.231,0.595,0.763,0,0.2,-4.991,0.0661,159.959,0.507,43,195706
433,Clean,1989,2014/1/1,13,2k43eySbfpDVx0PrO99UI8,spotify:track:2k43eySbfpDVx0PrO99UI8,0.242,0.81,0.38,0,0.113,-7.755,0.035,103.981,0.211,42,271000
456,State Of Grace,Red,2012/10/22,1,786NsUYn4GGUf8AOt0SQhP,spotify:track:786NsUYn4GGUf8AOt0SQhP,0.000197,0.588,0.825,0.00138,0.0885,-5.882,0.0328,129.968,0.397,40,295186
457,Red,Red,2012/10/22,2,0cITLOYn1Sv4q27zZPqlNK,spotify:track:0cITLOYn1Sv4q27zZPqlNK,0.0773,0.602,0.896,0.0000887,0.091,-4.267,0.0437,124.978,0.641,58,220826
458,Treacherous,Red,2012/10/22,3,5kYFVSQoPu7yRpfiHBwMUk,spotify:track:5kYFVSQoPu7yRpfiHBwMUk,0.101,0.705,0.621,0.0000043,0.147,-8.086,0.0334,109.993,0.395,38,240773
459,I Knew You Were Trouble.,Red,2012/10/22,4,72jCZdH0Lhg93z6Z4hBjgj,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,0.00454,0.622,0.469,0.00000225,0.0398,-6.798,0.0363,77.019,0.679,61,217973
460,All Too Well,Red,2012/10/22,5,4XMP3zVxrnr58T0tjIHvpR,spotify:track:4XMP3zVxrnr58T0tjIHvpR,0.0382,0.602,0.609,0.0002,0.127,-7.803,0.0243,93.06,0.337,44,327893
461,22,Red,2012/10/22,6,2ULNeSomDxVNmdDy8VxEBU,spotify:track:2ULNeSomDxVNmdDy8VxEBU,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,53,230133
462,I Almost Do,Red,2012/10/22,7,5VwFkx7JOimOGTYfha5rs1,spotify:track:5VwFkx7JOimOGTYfha5rs1,0.0173,0.567,0.481,0.0000413,0.182,-7.357,0.027,145.865,0.233,39,242573
463,We Are Never Ever Getting Back Together,Red,2012/10/22,8,7AEAGTc8cReDqcbPoY9gwo,spotify:track:7AEAGTc8cReDqcbPoY9gwo,0.00957,0.628,0.676,0.0000265,0.102,-5.911,0.0916,85.984,0.75,59,191880
464,Stay Stay Stay,Red,2012/10/22,9,1qLeEu4iXEclkLwoBlMiou,spotify:track:1qLeEu4iXEclkLwoBlMiou,0.307,0.729,0.748,0.00000129,0.09,-6.67,0.0245,99.981,0.928,39,204826
465,The Last Time,Red,2012/10/22,10,3n9mzjgAzjyKawvbHzciXF,spotify:track:3n9mzjgAzjyKawvbHzciXF,0.035,0.505,0.443,0.00000315,0.0921,-7.039,0.0276,94.069,0.123,38,298293
466,Holy Ground,Red,2012/10/22,11,1fGsZsIkQkOspfsT24nQP6,spotify:track:1fGsZsIkQkOspfsT24nQP6,0.0162,0.627,0.816,0.00208,0.0966,-6.698,0.0774,157.043,0.648,37,201853
467,Sad Beautiful Tragic,Red,2012/10/22,12,6LKjHhOW1az75pCQ9XJJtF,spotify:track:6LKjHhOW1az75pCQ9XJJtF,0.632,0.624,0.34,0.0337,0.121,-12.411,0.029,129.987,0.261,35,283680
468,The Lucky One,Red,2012/10/22,13,2X2J0BhxaLTmnxO4pPUhSd,spotify:track:2X2J0BhxaLTmnxO4pPUhSd,0.0371,0.706,0.499,0,0.132,-7.675,0.0369,117.937,0.545,36,240133
469,Everything Has Changed,Red,2012/10/22,14,4NAmRvqSITAAzKWnC8yRq3,spotify:track:4NAmRvqSITAAzKWnC8yRq3,0.36,0.624,0.458,0.00000389,0.303,-6.755,0.0287,80.017,0.436,50,243933
470,Starlight,Red,2012/10/22,15,7MecVsMj22MneZt7kVFaCr,spotify:track:7MecVsMj22MneZt7kVFaCr,0.0213,0.649,0.777,0.000335,0.221,-5.804,0.0406,126.018,0.587,37,217826
471,Begin Again,Red,2012/10/22,16,0L4YCNRfXAoTvdpWeH2RGj,spotify:track:0L4YCNRfXAoTvdpWeH2RGj,0.199,0.53,0.526,0.00000352,0.232,-8.349,0.0263,79.025,0.323,56,237613
488,Mine - POP Mix,Speak Now,2010/10/25,1,0GxW5K0qzrq7L1jwSY5OmY,spotify:track:0GxW5K0qzrq7L1jwSY5OmY,0.00461,0.696,0.768,0.00000121,0.101,-3.863,0.0308,121.05,0.692,42,230546
489,Sparks Fly,Speak Now,2010/10/25,2,46NGAvL695VnbcSeTmQWmM,spotify:track:46NGAvL695VnbcSeTmQWmM,0.0387,0.608,0.785,0,0.158,-2.976,0.0311,114.985,0.376,53,260946
490,Back To December,Speak Now,2010/10/25,3,5l6GqSxplqnZbLg0LTPQeG,spotify:track:5l6GqSxplqnZbLg0LTPQeG,0.0202,0.517,0.606,0,0.324,-5.797,0.0289,141.929,0.296,62,293040
491,Speak Now,Speak Now,2010/10/25,4,7dXKdjpOaH2iwfFKmUj7aq,spotify:track:7dXKdjpOaH2iwfFKmUj7aq,0.101,0.708,0.601,0,0.0979,-3.75,0.0306,118.962,0.742,50,240773
492,Dear John,Speak Now,2010/10/25,5,3K2es3gElMRJ3qvmPW442g,spotify:track:3K2es3gElMRJ3qvmPW442g,0.183,0.583,0.468,0.00000165,0.111,-5.378,0.0278,119.375,0.126,46,403933
493,Mean,Speak Now,2010/10/25,6,0KztjtD3ytzgYjUKIVfBnW,spotify:track:0KztjtD3ytzgYjUKIVfBnW,0.445,0.57,0.747,0,0.219,-3.978,0.0426,164.004,0.808,51,237746
494,The Story Of Us,Speak Now,2010/10/25,7,3lXekiVK1ZPZbKconsys73,spotify:track:3lXekiVK1ZPZbKconsys73,0.000315,0.575,0.855,0.00161,0.0419,-4.827,0.0467,139.92,0.84,48,265680
495,Never Grow Up,Speak Now,2010/10/25,8,3JilapcaOXzjR9gtvCY8FO,spotify:track:3JilapcaOXzjR9gtvCY8FO,0.829,0.715,0.308,0,0.16,-8.829,0.0305,124.899,0.547,48,290480
496,Enchanted,Speak Now,2010/10/25,9,04S1pkp1VaIqjg8zZqknR5,spotify:track:04S1pkp1VaIqjg8zZqknR5,0.0716,0.535,0.618,0.000388,0.169,-3.913,0.0273,81.975,0.228,71,352200
497,Better Than Revenge,Speak Now,2010/10/25,10,0PWgAyoxsjwGRuFSO0fyya,spotify:track:0PWgAyoxsjwGRuFSO0fyya,0.0167,0.519,0.917,0.0000206,0.359,-3.185,0.0887,145.882,0.652,54,217173
498,Innocent,Speak Now,2010/10/25,11,0mTgFzkDgSAF3nJY25XCXG,spotify:track:0mTgFzkDgSAF3nJY25XCXG,0.202,0.553,0.604,0,0.125,-5.295,0.0258,133.989,0.186,38,302266
499,Haunted,Speak Now,2010/10/25,12,2YjKcFQ1vYFhQPgsmCOjss,spotify:track:2YjKcFQ1vYFhQPgsmCOjss,0.0769,0.434,0.944,0,0.151,-2.641,0.0581,162.02,0.361,47,242093
500,Last Kiss,Speak Now,2010/10/25,13,4EUQXLipplO2v9mVaqQtjc,spotify:track:4EUQXLipplO2v9mVaqQtjc,0.581,0.359,0.329,0.0000375,0.0979,-9.531,0.0293,84.358,0.208,49,367146
501,Long Live,Speak Now,2010/10/25,14,4ewAfHYpDTzpW1GKO44CVP,spotify:track:4ewAfHYpDTzpW1GKO44CVP,0.0426,0.412,0.682,0.0000747,0.106,-4.319,0.0339,203.959,0.146,51,317960
524,Jump Then Fall,Fearless (Platinum Edition),2008/11/11,1,6WWvcA62QlnRguluWAk6bv,spotify:track:6WWvcA62QlnRguluWAk6bv,0.111,0.618,0.687,0,0.0693,-5.737,0.0271,79.991,0.82,41,237066
525,Untouchable,Fearless (Platinum Edition),2008/11/11,2,6ovFJkdau79DuXEvQjPaNH,spotify:track:6ovFJkdau79DuXEvQjPaNH,0.0583,0.419,0.454,0.00000378,0.0974,-6.809,0.0335,200.017,0.288,43,311040
526,Forever & Always - Piano Version,Fearless (Platinum Edition),2008/11/11,3,13MAWVUSkbGMUi6I7RowRK,spotify:track:13MAWVUSkbGMUi6I7RowRK,0.852,0.592,0.16,0,0.116,-10.785,0.0347,118.929,0.294,41,267506
527,Come In With The Rain,Fearless (Platinum Edition),2008/11/11,4,0cEG04R5cldkTLzK6phlcn,spotify:track:0cEG04R5cldkTLzK6phlcn,0.0961,0.527,0.461,0.00000247,0.24,-6.172,0.0256,143.94,0.23,39,238093
528,SuperStar,Fearless (Platinum Edition),2008/11/11,5,0XfTh16YcKPzdxMPTeKTAq,spotify:track:0XfTh16YcKPzdxMPTeKTAq,0.367,0.61,0.531,0,0.351,-6.123,0.0239,85.979,0.228,38,261453
529,The Other Side Of The Door,Fearless (Platinum Edition),2008/11/11,6,1yDJcXc549N6AabNBzFAku,spotify:track:1yDJcXc549N6AabNBzFAku,0.169,0.476,0.816,0,0.238,-4.279,0.0347,163.847,0.469,39,237600
530,Fearless,Fearless (Platinum Edition),2008/11/11,7,2okho7vU7Nsq1UZD0kgIMi,spotify:track:2okho7vU7Nsq1UZD0kgIMi,0.0364,0.598,0.714,0.00000104,0.31,-4.397,0.0273,99.979,0.467,50,242000
531,Fifteen,Fearless (Platinum Edition),2008/11/11,8,5Ora3Ish2A1JN5veGYTxhw,spotify:track:5Ora3Ish2A1JN5veGYTxhw,0.0728,0.559,0.636,0,0.144,-4.4,0.0263,95.485,0.214,40,294346
532,Love Story,Fearless (Platinum Edition),2008/11/11,9,5hnJCRSo4pxRsaEwT9YusG,spotify:track:5hnJCRSo4pxRsaEwT9YusG,0.157,0.618,0.736,0,0.073,-3.937,0.0308,118.982,0.307,56,235280
533,Hey Stephen,Fearless (Platinum Edition),2008/11/11,10,3CI1f4yLwdHzcUnH7o0Xyh,spotify:track:3CI1f4yLwdHzcUnH7o0Xyh,0.168,0.843,0.553,0.00000266,0.107,-7.348,0.0317,115.997,0.825,43,254320
534,White Horse,Fearless (Platinum Edition),2008/11/11,11,5yKB8qcTSflDercM2PXwot,spotify:track:5yKB8qcTSflDercM2PXwot,0.302,0.585,0.346,0,0.102,-8.014,0.0256,92.564,0.195,42,234440
535,You Belong With Me,Fearless (Platinum Edition),2008/11/11,12,4kgTdThcDHfuDS2kKxB7Lc,spotify:track:4kgTdThcDHfuDS2kKxB7Lc,0.164,0.687,0.771,0.0000246,0.112,-4.424,0.0384,129.964,0.445,57,231146
536,Breathe,Fearless (Platinum Edition),2008/11/11,13,23qIWGhpwvDgC23TyZOUck,spotify:track:23qIWGhpwvDgC23TyZOUck,0.373,0.498,0.486,0,0.113,-7.384,0.0273,147.952,0.17,38,263986
537,Tell Me Why,Fearless (Platinum Edition),2008/11/11,14,4x7Gxk2GfwZJcqpoVT1PbR,spotify:track:4x7Gxk2GfwZJcqpoVT1PbR,0.0606,0.601,0.852,0.00000341,0.37,-3.096,0.0386,100.015,0.513,40,200560
538,You're Not Sorry,Fearless (Platinum Edition),2008/11/11,15,3JhvYnOfKLJuWC7jEU0GmJ,spotify:track:3JhvYnOfKLJuWC7jEU0GmJ,0.13,0.459,0.459,0.0000023,0.113,-4.126,0.0275,134.018,0.281,42,261800
539,The Way I Loved You,Fearless (Platinum Edition),2008/11/11,16,4pEZUytwBzha5Un6m3SCFf,spotify:track:4pEZUytwBzha5Un6m3SCFf,0.0322,0.436,0.712,0,0.111,-3.689,0.0329,160.886,0.379,48,244240
540,Forever & Always,Fearless (Platinum Edition),2008/11/11,17,3NKCWBT2uKp8rxSkcvIrdX,spotify:track:3NKCWBT2uKp8rxSkcvIrdX,0.0907,0.605,0.829,0,0.106,-4.993,0.0549,128.012,0.514,43,225333
541,The Best Day,Fearless (Platinum Edition),2008/11/11,18,7CjuAoOiSrwWv7wJonAUmw,spotify:track:7CjuAoOiSrwWv7wJonAUmw,0.611,0.664,0.447,0.000001,0.139,-8.535,0.0292,126.079,0.364,40,245346
542,Change,Fearless (Platinum Edition),2008/11/11,19,3gFaNwyiafgUoQhR0pHYA9,spotify:track:3gFaNwyiafgUoQhR0pHYA9,0.00471,0.548,0.756,0,0.117,-4.175,0.036,96.038,0.224,40,281053
567,Tim McGraw,Taylor Swift (Deluxe Edition),2006/10/24,1,2Fn01AIMyHbha2ceNQeOqw,spotify:track:2Fn01AIMyHbha2ceNQeOqw,0.575,0.58,0.491,0,0.121,-6.462,0.0251,76.009,0.425,56,232106
568,Picture To Burn,Taylor Swift (Deluxe Edition),2006/10/24,2,4BYejINgfZF0qKDMEH2cim,spotify:track:4BYejINgfZF0qKDMEH2cim,0.173,0.658,0.877,0,0.0962,-2.098,0.0323,105.586,0.821,61,173066
569,Teardrops On My Guitar - Radio Single Remix,Taylor Swift (Deluxe Edition),2006/10/24,3,2TF4UtYreqNbQ6Z9AccldU,spotify:track:2TF4UtYreqNbQ6Z9AccldU,0.288,0.621,0.417,0,0.119,-6.941,0.0231,99.953,0.289,63,203040
570,A Place in this World,Taylor Swift (Deluxe Edition),2006/10/24,4,1oR4MUBpyNrAViC8wPNpfm,spotify:track:1oR4MUBpyNrAViC8wPNpfm,0.051,0.576,0.777,0,0.32,-2.881,0.0324,115.028,0.428,55,199200
571,Cold As You,Taylor Swift (Deluxe Edition),2006/10/24,5,569sXXQ7t0jSdqHooi2yqs,spotify:track:569sXXQ7t0jSdqHooi2yqs,0.217,0.418,0.482,0,0.123,-5.769,0.0266,175.558,0.261,55,239013
572,The Outside,Taylor Swift (Deluxe Edition),2006/10/24,6,5Tj2MqcFMf60CaGsKbM1aq,spotify:track:5Tj2MqcFMf60CaGsKbM1aq,0.00491,0.589,0.805,0,0.24,-4.055,0.0293,112.982,0.591,54,207106
573,Tied Together with a Smile,Taylor Swift (Deluxe Edition),2006/10/24,7,2zzxwmoOBnXDT0KnJsoIWk,spotify:track:2zzxwmoOBnXDT0KnJsoIWk,0.525,0.479,0.578,0,0.0841,-4.963,0.0294,146.165,0.192,54,248106
574,Stay Beautiful,Taylor Swift (Deluxe Edition),2006/10/24,8,41sjzdjScVwnxnxADElts6,spotify:track:41sjzdjScVwnxnxADElts6,0.0868,0.594,0.629,0,0.137,-4.919,0.0246,131.597,0.504,53,236053
575,Should've Said No,Taylor Swift (Deluxe Edition),2006/10/24,9,6CdaXOq1MWe2JHDalTG01d,spotify:track:6CdaXOq1MWe2JHDalTG01d,0.0103,0.476,0.777,0,0.196,-3.771,0.0289,167.964,0.472,60,242200
576,Mary's Song (Oh My My My),Taylor Swift (Deluxe Edition),2006/10/24,10,2O8sogKJCfVZ4rotBv1vVF,spotify:track:2O8sogKJCfVZ4rotBv1vVF,0.0177,0.403,0.627,0,0.182,-5.28,0.0292,74.9,0.374,57,213080
577,Our Song,Taylor Swift (Deluxe Edition),2006/10/24,11,1j6gmK6u4WNI33lMZ8dC1s,spotify:track:1j6gmK6u4WNI33lMZ8dC1s,0.111,0.668,0.672,0,0.329,-4.931,0.0303,89.011,0.539,64,201106
578,I'm Only Me When I'm With You,Taylor Swift (Deluxe Edition),2006/10/24,12,7CzxXgQXurKZCyHz9ufbo1,spotify:track:7CzxXgQXurKZCyHz9ufbo1,0.00452,0.563,0.934,0.000807,0.103,-3.629,0.0646,143.964,0.518,56,213053
579,Invisible,Taylor Swift (Deluxe Edition),2006/10/24,13,1k3PzDNjg38cWqOvL4M9vq,spotify:track:1k3PzDNjg38cWqOvL4M9vq,0.637,0.612,0.394,0,0.147,-5.723,0.0243,96.001,0.233,54,203226
580,A Perfectly Good Heart,Taylor Swift (Deluxe Edition),2006/10/24,14,0YgHuReCSPwTXYny7isLja,spotify:track:0YgHuReCSPwTXYny7isLja,0.00349,0.483,0.751,0,0.128,-5.726,0.0365,156.092,0.268,53,220146
581,Teardrops on My Guitar - Pop Version,Taylor Swift (Deluxe Edition),2006/10/24,15,1hxLyjC9D9Jpw6EAPKqWv4,spotify:track:1hxLyjC9D9Jpw6EAPKqWv4,0.0402,0.459,0.753,0,0.0863,-3.827,0.0537,199.997,0.483,55,179066
